tick,plants,herbivores,carnivores,total
1,198,30,12,240
2,287,30,12,329
3,371,30,12,413
4,458,30,12,500
5,552,30,12,594
6,628,30,12,670
7,718,30,12,760
8,798,30,12,840
9,867,30,12,909
10,933,30,12,975
11,1006,30,6,1042
12,1067,30,6,1103
13,1129,30,6,1165
14,1193,30,6,1229
15,1250,30,0,1280
16,1320,30,0,1350
17,1365,30,0,1395
18,1413,30,0,1443
19,1466,30,0,1496
20,1512,30,0,1542
21,1559,30,0,1589
22,1601,30,0,1631
23,1654,30,0,1684
24,1700,30,0,1730
25,1737,30,0,1767
26,1772,30,0,1802
27,1820,30,0,1850
28,1851,30,0,1881
29,1892,30,0,1922
30,1932,0,0,1932
31,1997,0,0,1997
32,2047,0,0,2047
33,2093,0,0,2093
34,2132,0,0,2132
35,2182,0,0,2182
36,2227,0,0,2227
37,2267,0,0,2267
38,2303,0,0,2303
39,2323,0,0,2323
40,2342,0,0,2342
41,2358,0,0,2358
42,2372,0,0,2372
43,2390,0,0,2390
44,2409,0,0,2409
45,2427,0,0,2427
46,2439,0,0,2439
47,2448,0,0,2448
48,2454,0,0,2454
49,2461,0,0,2461
50,2469,0,0,2469
51,2476,0,0,2476
52,2480,0,0,2480
53,2481,0,0,2481
54,2483,0,0,2483
55,2488,0,0,2488
56,2492,0,0,2492
57,2494,0,0,2494
58,2494,0,0,2494
59,2495,0,0,2495
60,2496,0,0,2496
61,2496,0,0,2496
62,2498,0,0,2498
63,2499,0,0,2499
64,2499,0,0,2499
65,2499,0,0,2499
66,2499,0,0,2499
67,2499,0,0,2499
68,2499,0,0,2499
69,2500,0,0,2500
70,2500,0,0,2500
71,2500,0,0,2500
72,2500,0,0,2500
73,2500,0,0,2500
74,2500,0,0,2500
75,2500,0,0,2500
76,2500,0,0,2500
77,2500,0,0,2500
78,2500,0,0,2500
79,2500,0,0,2500
80,2500,0,0,2500
81,2500,0,0,2500
82,2500,0,0,2500
83,2500,0,0,2500
84,2500,0,0,2500
85,2500,0,0,2500
86,2500,0,0,2500
87,2500,0,0,2500
88,2500,0,0,2500
89,2500,0,0,2500
90,2500,0,0,2500
91,2500,0,0,2500
92,2500,0,0,2500
93,2500,0,0,2500
94,2500,0,0,2500
95,2500,0,0,2500
96,2500,0,0,2500
97,2500,0,0,2500
98,2500,0,0,2500
99,2500,0,0,2500
100,2500,0,0,2500
101,2500,0,0,2500
102,2500,0,0,2500
103,2500,0,0,2500
104,2500,0,0,2500
105,2500,0,0,2500
106,2500,0,0,2500
107,2500,0,0,2500
108,2500,0,0,2500
109,2500,0,0,2500
110,2500,0,0,2500
111,2500,0,0,2500
112,2500,0,0,2500
113,2500,0,0,2500
114,2500,0,0,2500
115,2500,0,0,2500
116,2500,0,0,2500
117,2500,0,0,2500
118,2500,0,0,2500
119,2500,0,0,2500
120,2500,0,0,2500
121,2500,0,0,2500
122,2500,0,0,2500
